2024-10-05 18:14:02,108 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Configure stats pid to 8136
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Loading settings from C:\Users\91628\.config\wandb\settings
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Loading settings from C:\Users\91628\Desktop\AI Drone\src\wandb\settings
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Desktop\\AI Drone\\src\\SAC\\train_SAC.py', 'program_abspath': 'c:\\Users\\91628\\Desktop\\AI Drone\\src\\SAC\\train_SAC.py', 'program': 'c:\\Users\\91628\\Desktop\\AI Drone\\src\\SAC\\train_SAC.py'}
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-05 18:14:02,109 INFO    MainThread:8136 [wandb_setup.py:_flush():79] Applying login settings: {'mode': 'offline'}
2024-10-05 18:14:02,110 INFO    MainThread:8136 [wandb_init.py:_log_setup():532] Logging user logs to C:\Users\91628\Desktop\AI Drone\src\wandb\offline-run-20241005_181402-1smfic1z\logs\debug.log
2024-10-05 18:14:02,110 INFO    MainThread:8136 [wandb_init.py:_log_setup():533] Logging internal logs to C:\Users\91628\Desktop\AI Drone\src\wandb\offline-run-20241005_181402-1smfic1z\logs\debug-internal.log
2024-10-05 18:14:02,110 INFO    MainThread:8136 [wandb_init.py:init():617] calling init triggers
2024-10-05 18:14:02,110 INFO    MainThread:8136 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {}
2024-10-05 18:14:02,110 INFO    MainThread:8136 [wandb_init.py:init():667] starting backend
2024-10-05 18:14:02,110 INFO    MainThread:8136 [wandb_init.py:init():671] sending inform_init request
2024-10-05 18:14:02,115 INFO    MainThread:8136 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
